type,time,channel,note,velocity,pitch 
pitchwheel,0.7684288024902344,0,,,143
note_on,0.7688310146331787,0,66,14,
note_off,0.8016378879547119,0,66,64,
pitchwheel,1.0062589645385742,5,,,-127
note_on,1.0066230297088623,5,35,14,
note_off,1.2017827033996582,5,35,64,
pitchwheel,1.9863359928131104,4,,,-44
note_on,1.986717939376831,4,45,127,
pitchwheel,2.1282808780670166,1,,,-21
note_on,2.128635883331299,1,64,127,
pitchwheel,2.1583948135375977,2,,,-121
note_on,2.158916711807251,2,72,111,
pitchwheel,2.1635398864746094,1,,,0
pitchwheel,2.1775388717651367,2,,,-55
pitchwheel,2.2234058380126953,2,,,38
pitchwheel,2.2495198249816895,2,,,-30
pitchwheel,2.2776288986206055,2,,,0
pitchwheel,2.3004279136657715,0,,,-38
note_on,2.3009207248687744,0,66,45,
pitchwheel,2.3074889183044434,0,,,0
note_off,2.3295159339904785,0,66,64,
pitchwheel,2.395627021789551,2,,,-38
note_off,2.3972768783569336,1,64,64,
pitchwheel,2.4335219860076904,2,,,25
pitchwheel,2.4635210037231445,2,,,-43
pitchwheel,2.4783260822296143,1,,,-7
note_on,2.47868275642395,1,64,127,
pitchwheel,2.5076260566711426,2,,,43
pitchwheel,2.541686773300171,1,,,0
pitchwheel,2.5536630153656006,4,,,108
pitchwheel,2.5635228157043457,2,,,8
pitchwheel,2.5735108852386475,4,,,193
pitchwheel,2.5946340560913086,3,,,-53
note_on,2.5951168537139893,3,52,127,
pitchwheel,2.5975217819213867,4,,,-27
note_off,2.6233999729156494,1,64,64,
pitchwheel,2.6479148864746094,2,,,43
pitchwheel,2.688577651977539,1,,,-7
note_on,2.689089059829712,1,64,127,
pitchwheel,2.727545738220215,2,,,83
note_off,2.7436349391937256,1,64,64,
pitchwheel,2.757628917694092,2,,,167
pitchwheel,2.7875049114227295,2,,,70
pitchwheel,2.7981419563293457,1,,,35
note_on,2.7981677055358887,1,64,127,
pitchwheel,2.811706781387329,2,,,30
pitchwheel,2.8436279296875,1,,,291
note_off,2.8455307483673096,1,64,64,
pitchwheel,2.8894989490509033,2,,,87
pitchwheel,2.9143240451812744,1,,,7
note_on,2.9147047996520996,1,64,127,
pitchwheel,2.917130947113037,0,,,7
note_on,2.917513847351074,0,64,14,
pitchwheel,2.929680824279785,1,,,0
note_off,2.943692684173584,2,72,64,
pitchwheel,3.0024919509887695,2,,,54
note_on,3.0029938220977783,2,60,127,
pitchwheel,3.037371873855591,2,,,14
note_off,3.0617218017578125,1,64,64,
pitchwheel,3.1065728664398193,1,,,7
note_on,3.106949806213379,1,64,127,
pitchwheel,3.1219189167022705,1,,,0
note_off,3.1516270637512207,1,64,64,
pitchwheel,3.2045209407806396,1,,,-7
note_on,3.2050368785858154,1,64,127,
pitchwheel,3.2434518337249756,1,,,0
note_off,3.245368719100952,0,64,64,
note_off,3.247404098510742,1,64,64,
note_off,3.248244047164917,2,60,64,
pitchwheel,3.2496120929718018,2,,,-14
note_on,3.2496347427368164,2,60,127,
pitchwheel,3.2964088916778564,1,,,-7
note_on,3.2969207763671875,1,64,127,
pitchwheel,3.315521717071533,1,,,0
